A2ML1	OC	0.0	chr12	8970216	8980216
A4GALT	OPPYTPPPTYBT	7.82928180089756	chr22	43111876	43121876
AAAS	PYEPPYCBTBYCPPOTSETX	51.9890340552135	chr12	53710394	53720394
AACS	YCOEPYEP	10.2653402841515	chr12	125544980	125554980
AADAT	CO	0.0	chr4	171006107	171016107
AAGAB	PFTSBEOY	45.4904635196308	chr15	67541999	67551999
AAK1	PSPCYYNEPPNOE	10.9625912051256	chr2	69865871	69875871
AAMP	PYCPYEPNSFZAOC	56.9362171254277	chr2	219129860	219139860
AANAT	CYO	0.0	chr17	74458684	74468684
AARS2	SCTEOPPY	18.7578939024703	chr6	44276084	44286084
AARSD1	PPNOTBY	28.4895686665919	chr17	41111471	41121471
AASDH	YOTPFT	14.2382547329361	chr4	57248657	57258657
AASDHPPT	CAFSZBTNOTYTPCB	40.2012672293326	chr11	105943388	105953388
AASS	FBSAOP	5.94588362015503	chr7	121779303	121789303
AATF	BNSOPPY	65.5468195319873	chr17	35301253	35311253
ABAT	SFOPF	4.09782273556587	chr16	8763473	8773473
ABCA1	OCB	0.0	chr9	107685436	107695436
ABCA12	OPTYB	7.69941785450028	chr2	215998349	216008349
ABCA13	CO	0.0	chr7	48206054	48216054
ABCA2	CYCCO	0.396504563564715	chr9	139917689	139927689
ABCA3	BYCSNOEPC	1.26326557668619	chr16	2385729	2395729
ABCA5	PNYOPEP	11.3285217394604	chr17	67318274	67328274
ABCA7	BPPXYCYBAZNSFOPASF	6.74614901817182	chr19	1035105	1045105
ABCB1	TOPPXPB	4.97717718535085	chr7	87225200	87235200
ABCB10	YZESBNCPOC	12.0912448346779	chr1	229689454	229699454
ABCB4	OTTBPPYSBTBP	2.45015525109931	chr7	87099996	87109996
ABCB6	BSYFTOPY	2.07948596697409	chr2	220078680	220088680
ABCB7	TOPY	28.5199938218447	chrX	74371118	74381118
ABCB8	BZFSAOTPPBYEC	9.23045074869365	chr7	150720536	150730536
ABCB9	OP	2.19012085909432	chr12	123446010	123456010
ABCC1	BOPBPBP	14.3027421097155	chr16	16038472	16048472
ABCC10	TNZOCTSYPY	4.71599873103611	chr6	43390278	43400278
ABCC11	OPPEYS	0.0	chr16	48276450	48286450
ABCC12	SPCYBO	0.0	chr16	48184904	48194904
ABCC3	CPTPPO	0.342536629119994	chr17	48707241	48717241
ABCC4	SNBEOPPCTPTBPPPC	38.8427108501597	chr13	95948705	95958705
ABCC5	PSYENOSCY	3.99065265853167	chr3	183730672	183740672
ABCD1	YCPEOPBSY	2.11144758125553	chrX	152985310	152995310
ABCD2	YPPTNTCPFTOYT	19.7525106236637	chr12	40008605	40018605
ABCD3	TSNOPPY	16.761031933982	chr1	94878944	94888944
ABCD4	PYPCBTOYPC	11.9075488414711	chr14	74764637	74774637
ABCE1	PPTNBOYYT	131.705196803802	chr4	146014462	146024462
ABCF1	PFSBNOYEBPYNXP	169.895323838186	chr6	30534218	30544218
ABCF2	BPPEYSBFO	44.1200827313553	chr7	150919291	150929291
ABCF3	EBPSNOTY	19.8502303137232	chr3	183898986	183908986
ABCG1	FPOPBN	5.53903624107143	chr21	43634249	43644249
ABCG4	CYO	0.0	chr11	119014761	119024761
ABHD1	YCO	0.0	chr2	27341682	27351682
ABHD10	NOTPY	26.9000339675077	chr3	111692872	111702872
ABHD11	PBCPPYSOPEYC	4.22325930670124	chr7	73148132	73158132
ABHD12	TBPECSYFOP	18.7919887521536	chr20	25366471	25376471
ABHD12B	OYSPBF	0.0	chr14	51333770	51343770
ABHD13	NYPNTOPPSEYYTCT	18.3758361246767	chr13	108865739	108875739
ABHD14A	PYCSNOYPPP	7.1648881584548	chr3	52004079	52014079
ABHD14B	PPPYNSCYOP	47.8568034558233	chr3	52003065	52013065
ABHD15	PYTTFCYFOYPY	0.84169152553722	chr17	27889055	27899055
ABHD16A	YPSOTYPBT	12.5311087571385	chr6	31666101	31676101
ABHD2	BPTSZAFOYCPT	27.7330876523467	chr15	89626686	89636686
ABHD3	CBOPCE	7.65052132580184	chr18	19279735	19289735
ABHD4	PSOYPC	9.63910472246382	chr14	23062208	23072208
ABHD5	CNTOYECPPP	13.319710650511	chr3	43727429	43737429
ABHD6	PPCYOB	17.578596390606	chr3	58218518	58228518
ABHD8	PYETNBPCYEPYZSFTAOBYCP	5.39990454975579	chr19	17409234	17419234
ABI1	CNEBOTSYPPECB	71.9351160839343	chr10	27144887	27154887
ABI2	EOPPPPY	43.5294856335424	chr2	204188116	204198116
ABI3	PENBSXTFOYPFTPPTP	76.5115390971967	chr17	47283068	47293068
ABL1	XEBPTPYOY	5.79953316142691	chr9	133705640	133715640
ABL2	OYPYP	3.47966086635996	chr1	179193812	179203812
ABLIM2	NEYSPBO	0.344432357020659	chr4	8155540	8165540
ABLIM3	CYO	0.0	chr5	148516055	148526055
ABR	ESPPBSPBSEPO	7.97100000501934	chr17	1078275	1088275
ABRA	OC	0.0	chr8	107777472	107787472
ABT1	CTETPYCTTPPSBOEY	23.079671319243	chr6	26592180	26602180
ABTB1	PEYOP	1.18801961045854	chr3	127386794	127396794
ABTB2	CYBPFSTONY	4.56150444819453	chr11	34374557	34384557
ACAA1	CEYPEPPBETSFON	23.7286648666849	chr3	38173618	38183618
ACAA2	EFTBPYSTOYX	64.6540417372924	chr18	47334903	47344903
ACACA	PYSOPB	26.1736095886971	chr17	35761927	35771927
ACACB	CO	0.0547337262999637	chr12	109549391	109559391
ACAD10	PENSFOYRTCC	7.35979114319604	chr12	112118856	112128856
ACAD11	YPEYSTOYPPCY	5.50819043657108	chr3	132373653	132383653
ACAD8	YNPSEO	9.74602316573247	chr11	134118461	134128461
ACAD9	CYEBSPPFNOT	23.886389692817	chr3	128593462	128603462
ACADM	NBEOSYPPBBPBP	107.621353021128	chr1	76185393	76195393
ACADS	NSOYP	3.21007282790188	chr12	121158628	121168628
ACADSB	PYESOT	14.4992315436121	chr10	124763521	124773521
ACADVL	TCEPPPPPPEYOPYC	27.9159145942198	chr17	7118256	7128256
ACAN	OC	0.0	chr15	89341666	89351666
ACAP1	TPTOCBPSE	36.1659530246718	chr17	7234847	7244847
ACAP2	EBNAFSZOYTEPP	38.3146086566776	chr3	195158749	195168749
ACAP3	CPEYNPEPOCPC	2.04384540731598	chr1	1238310	1248310
ACAT1	CFSCOTYPB	59.8363883614265	chr11	107987293	107997293
ACAT2	BNPOTAFSYBT	108.749653397049	chr6	160178076	160188076
ACBD3	OERTYPPCC	66.8987479483996	chr1	226369442	226379442
ACBD4	CPCYCBPATSFPOC	4.96130645097572	chr17	43208053	43218053
ACBD5	YYBPEBSTCTEYSPPTYBEOYB	9.91820890390009	chr10	27524726	27534726
ACBD6	TNCYSPPBOB	33.6695192459146	chr1	180466712	180476712
ACBD7	FSOYPCF	0.184386778112277	chr10	15125775	15135775
ACCS	YECPPOBT	7.92580579890813	chr11	44082819	44092819
ACD	PYFPTSNPOBYP	15.8907718380053	chr16	67689163	67699163
ACE	OYC	0.0	chr17	61549421	61559421
ACER2	STYOP	0.399166083320623	chr9	19404006	19414006
ACER3	YYSEOPY	6.36516029573827	chr11	76566961	76576961
ACHE	YCYOPCPP	2.00194262518072	chr7	100488509	100498509
ACIN1	SPNTOTYNPPNCX	113.627583044026	chr14	23559345	23569345
ACLY	EYSFPPOYE	52.4335112306981	chr17	40070204	40080204
ACO1	COPP	3.33447784715215	chr9	32379640	32389640
ACO2	ERAFPBSTOPYP	114.396861874589	chr22	41860120	41870120
ACOT1	OPPC	0.0517080623538767	chr14	73998846	74008846
ACOT11	CO	0.263060055951073	chr1	55008900	55018900
ACOT13	YPPNESTFOCF	37.862965939613	chr6	24662304	24672304
ACOT2	FFOYBPPXYC	11.935354855761	chr14	74030916	74040916
ACOT4	TFOYYPP	0.343666565165416	chr14	74053576	74063576
ACOT7	CFFPCSYFOPYSYPP	52.6007804523371	chr1	6448827	6458827
ACOT8	RPTFSZABO	17.3069735009064	chr20	44481031	44491031
ACOT9	PTFSOYF	23.2713143682427	chrX	23756393	23766393
ACOX1	YTSFPPPBOCYNP	14.0752068672921	chr17	73970247	73980247
ACOX2	OBYCX	0.18136111416619	chr3	58517917	58527917
ACOX3	YPESOTT	11.5583309802389	chr4	8437450	8447450
ACOXL	PPOPP	0.184386778112277	chr2	111485149	111495149
ACP1	PNPBOTY	95.6814191801128	chr2	259946	269946
ACP2	CYBESTOP	8.09440496061885	chr11	47265365	47275365
ACP5	BPXYBSPPOPBS	14.1029753781072	chr19	11683460	11693460
ACP6	YPPESOY	1.98907417754113	chr1	147137646	147147646
ACRBP	OC	0.391947315908143	chr12	6751598	6761598
ACSF2	PBOPC	5.96795082100374	chr17	48498578	48508578
ACSF3	BESYOPPBBSYPTPBP	7.59079120070536	chr16	89155259	89165259
ACSL1	PPCYTOPYP	36.8352951715676	chr4	185742122	185752122
ACSL3	SFBTONPPPCC	60.7131329211948	chr2	223720753	223730753
ACSL4	YPON	62.4787600606881	chrX	108971486	108981486
ACSL5	OPCTESYP	40.9929089129154	chr10	114128873	114138873
ACSL6	OYC	0.0	chr5	131342351	131352351
ACSM3	XFTPFO	12.4503348720547	chr16	20770335	20780335
ACSS1	BPSEOYPPBT	19.4720248724164	chr20	25033775	25043775
ACSS2	PEYCNSCPFSOPP	0.620823388961817	chr20	33459414	33469414
ACTB	SBPPTYFTPPYFSTOBENPYEEYYEPBZYBYEY	8411.1883697021	chr7	5565232	5575232
ACTG1	PESTTYBPETEPFPYPYPSTOYEYZ	3806.17139732866	chr17	79474825	79484825
ACTG2	OBP	0.0254711352493171	chr2	74115134	74125134
ACTL10	PEPCEYBOTYPPCYE	0.47295547278755	chr20	32249748	32259748
ACTL6A	YCPAFSZYOTPCY	74.6257424207124	chr3	179275713	179285713
ACTL9	OC	0.0	chr19	8804145	8814145
ACTN1	PSFOP	50.999913764642	chr14	69441019	69451019
